ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,key_19422,"dab1de08-f3cf-4685-b9f6-ddb0665e7480
bb476e18-fffb-4647-a06a-0f74bb390335
ddbaf956-48a2-423c-b3c8-9c8d5e934dc7",skill/competence,sector-specific,gérer le personnel musical,,"Attribuer et gérer les tâches du personnel dans des domaines tels que la notation, l’arrangement, la copie de musique et le coaching vocal.",,
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,key_19423,"50ccaa9e-f704-45e2-9ebd-d18c77850804
c86e1a4d-0a75-46ee-9ca8-c39c5fa8257c
bdbcaef0-0ed3-49c6-87c3-da3789cdf47b",skill/competence,occupation-specific,superviser des procédures correctionnelles,,"Superviser les opérations d’un établissement correctionnel ou d’autres procédures correctionnelles, en s’assurant qu’elles sont conformes aux règlements légaux, et s’assurer que le personnel respecte les règlements, et viser à améliorer l’efficacité et la sécurité de l’établissement.",,
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,key_19424,"0430f555-701a-4ce6-ab46-04d1eab8f8fb
a117ff39-82e7-4242-bfe5-440a5ded797f
f769ac61-d786-490a-936c-b3f28d9d04fc",skill/competence,sector-specific,appliquer des pratiques de travail social anti-oppressif,,"Identifier l’oppression dans les sociétés, les économies, les cultures et les groupes, en agissant en tant que professionnel d’une manière non oppressive, permettant aux usagers de prendre des mesures pour améliorer leur vie et permettant aux citoyens de changer leur environnement en fonction de leurs propres intérêts.",,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,key_19425,"9e08be35-540b-4eec-8c79-ba855b89154b
523cd6d2-eb5e-4542-907c-5b286f6991f7
a2091838-7890-4a18-9690-4d48ab0c63f1",skill/competence,sector-specific,contrôler la conformité à la réglementation sur les véhicules ferroviaires,,"Inspecter le matériel roulant, les composants et les systèmes pour s’assurer de leur conformité aux normes et aux spécifications.",,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,key_19426,"f853a33a-a867-42ad-b395-e00e293fbe76
993567f8-bab6-422f-b5c2-bf4bb61a4d2c
852cce3f-f085-4f0f-b30c-dca8bccf6111",skill/competence,cross-sector,recenser les services disponibles,,"Identifier les différents services disponibles pour un délinquant pendant sa période de probation afin de l’aider dans son processus de réadaptation et de réinsertion sociale, et le conseiller sur la façon dont il peut identifier les services qui lui sont disponibles.",,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,key_19427,"70fa2983-6702-455c-bd23-c41f2eee436d
99c56412-1a18-4253-b426-f6af97c8dc72
b6e72ad3-b8c5-4d5c-ad8a-ca46983d0366",skill/competence,cross-sector,réaliser des études toxicologiques,,"Effectuer des tests pour détecter les poisons ou l’usage abusif de médicaments et aider à surveiller le traitement en utilisant des réactifs chimiques, des enzymes, des radio-isotopes et des anticorps pour détecter les concentrations chimiques anormales dans le corps.",,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,key_19428,"d3776062-2068-484a-8aeb-8440a0ba8faa
7ff9683b-6601-4c24-b5c7-2b05b8d16683
faebaee1-d01c-46ba-9447-336e1e37fa9d",skill/competence,occupation-specific,assurer l’uniformité de coquilles,,Assurer l’uniformité des coquilles ; utiliser des équipements et des outils de fonderie tels que des machines à souder.,,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,key_19429,"b6f34f9e-4d94-40e5-857a-90568cbeacab
acb00b3b-dc88-434e-af7d-552af97f5d51
81a6bc21-40d3-496a-a0a0-d198956eda53",knowledge,sector-specific,Haskell,,"Les techniques et les principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les essais et la compilation des paradigmes de programmation en Haskell.",,
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,key_19430,"3c90f445-39c3-4104-90b1-4177e2388346
a926d95d-bd1a-4e7c-a603-41cf85709639
58131021-66a1-42bf-b80a-0228e01a39b0",skill/competence,transversal,faire preuve d’initiative,,"Être proactif et prendre les premières mesures d’une action sans attendre de savoir ce que les autres disent ou font.
  ",,
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,key_19431,"de6082d6-10a4-420e-b578-0b9cc507016b
22945d36-3b3d-4530-b9e6-9499a5731e59
a0b6e67d-e7c7-4dc4-8f6d-a11f5125ff28",skill/competence,sector-specific,former le personnel à la réduction des déchets alimentaires,,"Mettre en place de nouvelles formations et des dispositions liées à la formation professionnelle pour renforcer les connaissances du personnel sur la prévention du gaspillage alimentaire et les pratiques de recyclage des denrées alimentaires. Veiller à ce que le personnel comprenne les méthodes et outils de recyclage des denrées alimentaires, par exemple le tri des déchets.
	",,
